"id","sc_marital","sc_household_size","sc_weekly_contact_parents","sc_weekly_contact_children","sc_perceived_support","sc_act_interact_friends","sc_act_mahjong","sc_act_help_others","sc_act_sport_club","sc_act_community_org","sc_act_volunteer","sc_act_care_sick","sc_act_education","sc_act_stock","sc_act_internet","Z_SC_Structural","Z_SC_Support","Z_SC_Strain","Z_SC_Engagement","Z_SC_Total"
325306206002,0,2,0,1,0,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.26898862438446,-0.460254004494928
325306207001,0,6,1,1,1,4,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.26898862438446,0.65772749316648
325306207002,0,6,1,1,1,2,4,3,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,-0.19079912921836,0.504464908632207
325306208001,2,5,0,0,1,4,4,4,4,4,4,4,4,4,4,-1.70366154933702,0.648632701796546,NA,0.26898862438446,-0.262013407718672
325306209001,0,6,1,0,1,2,2,4,4,4,4,4,4,4,4,-0.539964838899034,0.648632701796546,NA,-0.248285139271164,-0.0465390921245507
325306209002,0,6,1,0,0,4,3,4,3,4,4,4,4,4,4,-0.539964838899034,-1.54161508074969,NA,-0.0528847354976871,-0.711488218382137
325306210001,0,4,0,1,1,1,2,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.356398762556622,0.0613661273734567
325306210002,0,4,0,1,NA,1,4,4,3,4,4,4,4,4,4,-0.108135557119554,NA,NA,-0.226702346811707,NA
325306211001,3,1,0,0,0,1,1,4,4,4,4,4,4,4,4,-1.70366154933702,-1.54161508074969,NA,-0.506922021098976,-1.25073288372856
325306212001,0,5,1,1,1,4,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.26898862438446,0.65772749316648
325306212002,0,5,1,1,1,4,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.26898862438446,0.65772749316648
325306213001,0,3,0,1,1,1,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.0553522454719137,0.161714966401693
325306213002,0,3,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
325306214002,0,7,1,1,1,4,3,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.118465365842106,0.607553073652362
325306215001,0,3,0,1,0,3,4,3,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,-0.0826855059329021,-0.577478714600715
325306215002,0,3,0,1,NA,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,NA,NA,0.26898862438446,NA
325306216001,2,1,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
325306217001,0,2,0,1,1,2,2,3,4,4,4,3,4,4,4,-0.108135557119554,0.648632701796546,NA,-1.05749021913297,-0.172331024818658
325306217002,0,2,0,1,1,2,1,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.398808397813518,0.0472295822878246
325306218001,0,3,0,1,0,4,3,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.118465365842106,-0.510428424009046
325306218002,0,3,0,1,1,1,1,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.506922021098976,0.0111917078593387
325306219001,2,4,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
